Caja;REG;Caja_ID;GZ_ID;lat;lon;START_;END_;nota;tipo;Simbolo;Caja superior
Zimapan;NES;RCNEZI00;1000117;20,736944;-99,381944;1722;9999;;Caja real;Principal;
Honduras;GUA;RCGUHOND;2000009;;;1527;1543;Cuentas en el AGI hasta 1679;Caja real;Principal;
Honduras;GUA;RCGUHOND;2000001;;;1544;1563;Cuentas en el AGI hasta 1679;Caja real;Principal;
Comayagua;GUA;RCGUHOND;2000006;;;1564;1679;Cuentas en el AGI hasta 1679;Caja real;Principal;
Granada;GUA;RCGUGR00;2000680;11,92868;-85,96077;1111;1111;Morales Padrón: siglo XVII;Caja real;Principal;
Cosalá;GDJ;RCGDSINA;1000204;24,4117;-106,68896;1807;9999;;Caja real;Principal;
León;GUA;RCGULE00;2000007;;;1573;1695;Cuentas en el AGI hasta 1695;Caja real;Principal;
Nueva Segovia;GUA;RCGUNS00;2000677;13,565761;-86,031868;1111;1111;Morales Padrón: siglo XVI;Caja real;Principal;
San Pedro Sula;GUA;RCGUSU00;2000246;15,50507;-88,02413;1111;1111;Morales Padrón: siglo XVI;Caja real;Principal;
Sonsonate;GUA;RCGUSO00;2000131;;;1605;1674;Cuentas en el AGI hasta 1615;Caja real;Principal;
Tegucigalpa;GUA;RCGUTG00;2000264;;;1111;1662;Hay cuentas para 1662.;Caja real;Principal;
Campeche;NES;RCNECA00;1000226;19,84433;-90,535698;1716;9999;"Morales Padrón: ""Funcionaba en 1578"".?";Caja real;Principal;
Sombrerete;GDJ;RCGDSO00;1000240;23,63278;-103,64106;1668;9999;;Caja real;Principal;
Presidio del Carmen;NES;RCNEPC00;1004862;18,6525;-91,8082;1775;9999;Morales Padrón: 1770?;Caja real;Principal;
Perote;NES;RCNEPE00;1005098;19,5735;-97,2446;1786;9999;;Caja real;Principal;
México;NES;RCNEMX00;1000001;;;1521;1604;;Caja real;Principal;
Guatemala;GUA;RCGUGU00;2000003;14,52979;-90,735481;1529;9999;;Caja real;Principal;
Chiapas;GUA;RCGUCH00;2000005;16,73695;-92,63753;1801;9999;;Caja real;Principal;
Santo Domingo;SDO;RCSDSD00;3000001;18,480197;-69,942111;1520;9999;;Caja real;Principal;
Panuco;NES;RCNEPN00;1000217;22,05695;-98,179413;1111;1111;Morales Padrón: siglo XVI;Caja real;Principal;
Puerto Principe;SDO;RCSDPU00;3000002;21,385682;-77,914397;1708;9999;;Caja real;Principal;
Presidio del Carmen;NES;RCNEPC00;1004862;;;1729;1731;;Caja real;Principal;
San Juan de Puerto Rico;SDO;RCSDSJ00;3000003;18,466146;-66,115804;1510;9999;;Caja real;Principal;
Puebla;NES;RCNEPU00;1000015;;;1698;1728;;Caja real;Principal;
La Habana;SDO;RCSDLH00;3000004;23,14111;-82,35143;1638;9999;;Tribunal de cuentas;Tribunal;
Santiago de Cuba;SDO;RCSDCU00;3000005;20,021799;-75,822197;1529;9999;;Caja real;Principal;
Tabasco;NES;RCNETB00;1004860;;;1601;1732;Morales Padrón: A partir de 1769?;Caja real;Principal;
Matanzas;SDO;RCSDMA00;3000011;23,046344;-81,576917;1743;9999;;Caja real;Principal;
Bayamo;SDO;RCSDBA00;3000013;20,380173;-76,642588;1703;9999;;Caja real;Principal;
